url, team1, team2, win_toss, bat_or_bowl, outcome, win_game, date, day_n_night, ground, rain, duckworth_lewis, match_id, type_of_match
"espncricinfo-fc/1142581.html","","","","","","","Full Scorecard of Sri Lanka vs South Africa 1st Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1153847.html","","","","","","","Full Scorecard of New Zealand vs Bangladesh 1st Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1187008.html","","","","","",""," ICC World Test Championship 2nd Test - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1152846.html","","","","","",""," ICC World Test Championship 1st Test - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1119551.html","","","","","","","Full Scorecard of England vs India 3rd Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1153312.html","","","","","","","Full Scorecard of Bangladesh vs West Indies 2nd Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1152850.html","","","","","",""," ICC World Test Championship 5th Test - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1201026.html","","","","","","","Full Scorecard of Sri Lanka A vs Bangladesh A 2nd unofficial Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1192564.html","","","","","","","Full Scorecard of Bangladesh A vs Afghanistan A 2nd unofficial Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1119550.html","","","","","","","Full Scorecard of England vs India 2nd Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1144993.html","","","","","","","Full Scorecard of Australia vs India 1st Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1152847.html","","","","","",""," ICC World Test Championship 2nd Test - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1150084.html","","","","","","","Full Scorecard of India A vs Australia A 2nd unofficial Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1187009.html","","","","","",""," ICC World Test Championship 3rd Test - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1146717.html","","","","","","","Full Scorecard of West Indies vs Bangladesh 1st Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1170367.html","","","","","","","Full Scorecard of Sri Lanka A vs Ireland A 1st unofficial Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1122544.html","","","","","","","Full Scorecard of West Indies A vs England Lions 2nd unofficial Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1135151.html","","","","","","","Full Scorecard of West Indies vs Sri Lanka 3rd Test 2018 - Score Report ","1","","0","0","","FC"
"espncricinfo-fc/1072307.html","","","","","","","Full Scorecard of Australia vs England 3rd Test 2017 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1164220.html","","","","","","","Full Scorecard of New Zealand A vs India A 1st unofficial Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1149179.html","","","","","","","Full Scorecard of Bangladesh A vs Sri Lanka A 3rd unofficial Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1190806.html","","","","","","","Full Scorecard of West Indies A vs India A 3rd unofficial Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1183601.html","","","","","","","Full Scorecard of India A vs Sri Lanka A 2nd unofficial Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1151965.html","","","","","","","Full Scorecard of Sri Lanka Under-19s vs India Under-19s 1st Youth Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1122724.html","","","","","","","Full Scorecard of India vs Sri Lanka 2nd Test 2017 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1157370.html","","","","","","","Full Scorecard of Australia vs Pakistan 1st Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1122543.html","","","","","","","Full Scorecard of West Indies A vs England Lions 1st unofficial Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1140386.html","","","","","","","Full Scorecard of Sri Lanka vs England 2nd Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1157382.html","","","","","","","Full Scorecard of New Zealand vs Pakistan 2nd Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1130745.html","","","","","","","Full Scorecard of Bangladesh vs Sri Lanka 2nd Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1197425.html","","","","","","","Full Scorecard of India A vs South Africa A 1st unofficial Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1150083.html","","","","","","","Full Scorecard of India A vs Australia A 1st unofficial Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1153640.html","","","","","","","Full Scorecard of Bangladesh vs Zimbabwe 2nd Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1144994.html","","","","","","","Full Scorecard of Australia vs India 2nd Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1192563.html","","","","","","","Full Scorecard of Bangladesh A vs Afghanistan A 1st unofficial Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1122277.html","","","","","","","Full Scorecard of South Africa vs India 2nd Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1191338.html","","","","","","","Full Scorecard of South Africa Emerging Players vs Sri Lanka Emerging Team 1st unofficial Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1204486.html","","","","","","","Full Scorecard of Bangladesh Under-19s vs Sri Lanka Under-19s 2nd Youth Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1115780.html","","","","","","","Full Scorecard of New Zealand vs England 1st Test 2018 - Score Report ","1","","0","0","","FC"
"espncricinfo-fc/1119536.html","","","","","","","Full Scorecard of England vs Pakistan 2nd Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1168025.html","","","","","","","Full Scorecard of England Women vs Australia Women Only Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1174378.html","","","","","","","Full Scorecard of India Under-19s vs South Africa Under-19s 2nd Youth Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1197813.html","","","","","","","Full Scorecard of Bangladesh Emerging Team vs Sri Lanka Emerging Team 2nd unofficial Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1145672.html","","","","","","","Full Scorecard of England Lions vs India A Only unofficial Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1197812.html","","","","","","","Full Scorecard of Bangladesh Emerging Team vs Sri Lanka Emerging Team 1st unofficial Test 2019 - Score Report ","0","","0","0","","FC"
